1,2,7,400,5.5,1100,47087,65.32,9.3263,4.9888,16.624,24.501,1.8799,215.6,70.188,98.916,203.08,5.75,6.7449,33.134,31.305,53.547,670.82,2.0359,109.52,9078.8,220.49,0.83447
1,3,7,400,5.75,1100,45843,62.735,8.0882,5.0536,16.065,23.648,1.8799,201.48,64.478,90.502,203.08,6,6.4454,29.837,28.642,52.302,681.92,2.0712,112.81,9293.4,217.67,0.82739
1,4,7,400,6,1100,44333,60.572,7.1191,5.1296,15.565,22.878,1.8799,189.09,59.477,83.117,203.08,6.25,6.1714,26.923,26.305,50.919,689.35,2.095,115.7,9464.7,214.44,0.82067
2,2,7,450,5.5,1100,47348,65.209,9.3263,4.8777,16.624,24.501,1.8799,215.6,70.188,98.916,206.61,5.75,6.7449,33.134,31.305,53.669,673.48,2.0443,110.4,9129,225.52,0.91682
2,3,7,450,5.75,1100,46093,62.61,8.0882,4.929,16.065,23.648,1.8799,201.48,64.478,90.502,206.61,6,6.4454,29.837,28.642,52.416,684.69,2.08,113.76,9346.8,223.17,0.90905
2,4,7,450,6,1100,44568,60.433,7.1191,4.9904,15.565,22.878,1.8799,189.09,59.477,83.117,206.61,6.25,6.1714,26.923,26.305,51.023,692.21,2.1042,116.71,9520.9,220.42,0.90166
3,3,7,500,5.75,1100,46293,62.529,8.0882,4.8474,16.065,23.648,1.8799,201.48,64.478,90.502,209.62,6,6.4454,29.837,28.642,52.509,686.84,2.0868,114.52,9389,226.93,0.98954
3,4,7,500,6,1100,44757,60.343,7.1191,4.8998,15.565,22.878,1.8799,189.09,59.477,83.117,209.62,6.25,6.1714,26.923,26.305,51.108,694.42,2.1112,117.52,9565.1,224.5,0.9815
1,2,8,400,5.5,1150,46993,65.32,9.3263,4.9888,16.624,24.501,1.8799,215.6,70.188,98.916,203.08,5.75,6.7449,33.134,31.305,53.278,676.65,2.051,115.16,8747.2,230.51,0.83447
1,3,8,400,5.75,1150,45715,62.735,8.0882,5.0536,16.065,23.648,1.8799,201.48,64.478,90.502,203.08,6,6.4454,29.837,28.642,52.013,688.08,2.0873,118.6,8955.2,227.56,0.82739
1,4,8,400,6,1150,44176,60.572,7.1191,5.1296,15.565,22.878,1.8799,189.09,59.477,83.117,203.08,6.25,6.1714,26.923,26.305,50.614,695.83,2.1121,121.62,9121.8,224.19,0.82067
2,2,8,450,5.5,1150,47251,65.209,9.3263,4.8777,16.624,24.501,1.8799,215.6,70.188,98.916,206.61,5.75,6.7449,33.134,31.305,53.4,679.33,2.0595,116.09,8795.5,235.77,0.91682
2,3,8,450,5.75,1150,45961,62.61,8.0882,4.929,16.065,23.648,1.8799,201.48,64.478,90.502,206.61,6,6.4454,29.837,28.642,52.127,690.88,2.0962,119.59,9006.5,233.31,0.90905
2,4,8,450,6,1150,44408,60.433,7.1191,4.9904,15.565,22.878,1.8799,189.09,59.477,83.117,206.61,6.25,6.1714,26.923,26.305,50.717,698.73,2.1213,122.68,9175.9,230.44,0.90166
3,2,8,500,5.5,1150,47459,65.135,9.3263,4.8045,16.624,24.501,1.8799,215.6,70.188,98.916,209.62,5.75,6.7449,33.134,31.305,53.498,681.42,2.0662,116.84,8833.9,239.36,0.998
3,3,8,500,5.75,1150,46159,62.529,8.0882,4.8474,16.065,23.648,1.8799,201.48,64.478,90.502,209.62,6,6.4454,29.837,28.642,52.219,693.06,2.1031,120.4,9047.2,237.24,0.98954
