pressure index,i_d index,thrust index,tank pressure,inner diameter,thrust,max_alt,dry_mass,mass_fins,mass_eng,mass_tank,mass_str,mass_avionics,Total_length (ft),total length,tank_length,str_length,Isp,outer diameter,CH4 thickness,LOX thickness,time to apogee,max_vel,max_Mach,max_acc,alt_max_vel,T2W,heat flux
3,2,9,500,5.5,1200,44002,73.711,9.4594,4.8045,25.067,24.501,1.8799,18.07,216.84,71.427,98.916,209.62,5.75,0.125,0.125,51.816,627.55,1.8954,111.6,2365,249.77,0.998
3,3,9,500,5.75,1200,44009,70.656,8.2192,4.8474,24.061,23.648,1.8799,16.90,202.82,65.817,90.502,209.62,6,0.125,0.125,50.898,641.58,1.9393,115.3,2431.8,247.56,0.98954
4,1,9,550,5.25,1200,44019,77.368,11.067,4.7218,26.252,25.448,1.8799,19.41,232.96,77.896,108.56,212.26,5.5,0.125,0.125,52.543,610.78,1.8431,107.91,2292.1,254.14,1.0856
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,137.315,,,,,,,,,,,,,,,,,,,,,,,,
